wiki_id,title,targetlang,equiv_title,wiki_url
58255,Duke,ru,Герцог,http://en.wikipedia.org/wiki?curid=58255
325378,Ninth Circuit,ru,Апелляционный суд девятого округа США,http://en.wikipedia.org/wiki?curid=325378
32127,University of Chicago,ru,Чикагский университет,http://en.wikipedia.org/wiki?curid=32127
428326,Fifth Circuit,ru,Апелляционный суд пятого округа США,http://en.wikipedia.org/wiki?curid=428326
30680,New York Times,ru,The New York Times,http://en.wikipedia.org/wiki?curid=30680
31921,University of California,ru,Калифорнийский университет,http://en.wikipedia.org/wiki?curid=31921
