wiki_id,title,targetlang,equiv_title,wiki_url
17391,Kosovo,fr,Kosovo,http://en.wikipedia.org/wiki?curid=17391
1200964,Australien,fr,Australie,http://en.wikipedia.org/wiki?curid=1200964
10108,Europa,fr,Europe,http://en.wikipedia.org/wiki?curid=10108
4162102,Serbien,fr,Serbie,http://en.wikipedia.org/wiki?curid=4162102
15087,Sydney,fr,Sydney,http://en.wikipedia.org/wiki?curid=15087
192093,Brisbane,fr,Brisbane,http://en.wikipedia.org/wiki?curid=192093
11773,Moldawien,fr,Moldavie,http://en.wikipedia.org/wiki?curid=11773
3412152,Russland,fr,Russie,http://en.wikipedia.org/wiki?curid=3412152
8526,Georgien,fr,Géorgie (pays),http://en.wikipedia.org/wiki?curid=8526
