wiki_id,title,targetlang,equiv_title,wiki_url
14325,Krim,fr,Crimée,http://en.wikipedia.org/wiki?curid=14325
15718,Volk,fr,Peuple,http://en.wikipedia.org/wiki?curid=15718
37385,Weg,fr,Sentier (voie),http://en.wikipedia.org/wiki?curid=37385
56730,Meinung,fr,Opinion,http://en.wikipedia.org/wiki?curid=56730
77147,Rande,fr,Betterave potagère,http://en.wikipedia.org/wiki?curid=77147
11613,Kritik,fr,Esprit critique,http://en.wikipedia.org/wiki?curid=11613
161962,Respekt,fr,Respect,http://en.wikipedia.org/wiki?curid=161962
41895,Union,fr,Union,http://en.wikipedia.org/wiki?curid=41895
