wiki_id,title,targetlang,equiv_title,wiki_url
14325,Krim,en,Crimea,http://en.wikipedia.org/wiki?curid=14325
15718,Volk,en,People,http://en.wikipedia.org/wiki?curid=15718
37385,Weg,en,Trail,http://en.wikipedia.org/wiki?curid=37385
56730,Meinung,en,Opinion,http://en.wikipedia.org/wiki?curid=56730
77147,Rande,en,Beetroot,http://en.wikipedia.org/wiki?curid=77147
11613,Kritik,en,Criticism,http://en.wikipedia.org/wiki?curid=11613
161962,Respekt,en,Respect,http://en.wikipedia.org/wiki?curid=161962
41895,Union,en,Union,http://en.wikipedia.org/wiki?curid=41895
