wiki_id,title,targetlang,equiv_title,wiki_url
17391,Kosovo,ar,جمهورية كوسوفو,http://en.wikipedia.org/wiki?curid=17391
1200964,Australien,ar,أستراليا,http://en.wikipedia.org/wiki?curid=1200964
10108,Europa,ar,أوروبا,http://en.wikipedia.org/wiki?curid=10108
4162102,Serbien,ar,صربيا,http://en.wikipedia.org/wiki?curid=4162102
15087,Sydney,ar,سيدني,http://en.wikipedia.org/wiki?curid=15087
192093,Brisbane,ar,بريزبن,http://en.wikipedia.org/wiki?curid=192093
11773,Moldawien,ar,مولدوفا,http://en.wikipedia.org/wiki?curid=11773
3412152,Russland,ar,روسيا,http://en.wikipedia.org/wiki?curid=3412152
8526,Georgien,ar,جورجيا,http://en.wikipedia.org/wiki?curid=8526
