wiki_id,title,targetlang,equiv_title,wiki_url
4247685,Kosovo,en,Kosovo,http://en.wikipedia.org/wiki?curid=4247685
1200964,Australien,en,Australia,http://en.wikipedia.org/wiki?curid=1200964
10108,Europa,en,Europe,http://en.wikipedia.org/wiki?curid=10108
4162102,Serbien,en,Serbia,http://en.wikipedia.org/wiki?curid=4162102
15087,Sydney,en,Sydney,http://en.wikipedia.org/wiki?curid=15087
11773,Moldawien,en,Moldova,http://en.wikipedia.org/wiki?curid=11773
15084,Brisbane,en,Brisbane,http://en.wikipedia.org/wiki?curid=15084
8526,Georgien,en,Georgia (country),http://en.wikipedia.org/wiki?curid=8526
3412152,Russland,en,Russia,http://en.wikipedia.org/wiki?curid=3412152
